{'text': '@BSNLCorporate @CMDBSNL @Secretary_DoT @DoT_India : If I were in your place, I would make an automated system to pi… https://t.co/8MsUwFcJwc', 'sentiment': 'neutral'}
{'text': "@BSNLCorporate @CMDBSNL @Secretary_DoT @DoT_India : Tell me how to block 4 digit series &amp; that's 9999 numbers! You… https://t.co/gvQj9cMWgG", 'sentiment': 'neutral'}
{'text': '@BSNLCorporate Thanks..  but InFuture please try to minimize restoration time which is all long period', 'sentiment': 'positive'}
{'text': '@BSNLCorporate Please improve your English vocabulary', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate @BSNL_GJ Our landline is not working since last 10 days in Vastral area from Odhav Circle, Ahmedabad… https://t.co/V9YuQt1gEJ', 'sentiment': 'neutral'}
{'text': '@souvik_sarkar86 @BSNLCorporate Souvik ji, I am belong to Maharashtra and I am surrendered my landline on Nov 2016… https://t.co/VoUTwMckPR', 'sentiment': 'neutral'}
{'text': '@BSNL_GJ Our landline is not working since last 10 days in Vastral area from Odhav Circle, Ahmedabad, Gujarat.\nNo o… https://t.co/G2FoXvyBgX', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate   now  bsnl   network  coverage is  working ok. Sometime  network  interrupted  due to  ofc cut of t… https://t.co/LXKDRlHtxq', 'sentiment': 'positive'}
{'text': '@BSNLCorporate REMINDER -1 \nSir, My land line number 02187-248305,My complain @ phone is not resolved since last th… https://t.co/CX68mqVYjb', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate @bsnl_tt @bsnl_ap_circle why does BSNL mention that there is a UPS provided when they have no intent… https://t.co/5LIspKvb4r', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate Have you @DoT_India saw this tweet..? \nNo optical fiber cable is available at @bsnl_tt to provide th… https://t.co/ntGdpKFm1f', 'sentiment': 'positive'}
{'text': '@BSNLCorporate @BSNL_TN issue is still not resolved. How do i escalate? Worst customer service by @BSNLCorporate', 'sentiment': 'negative'}
{'text': '@BSNLCorporate Complaint attended and forwarded to concern will resolve shortly', 'sentiment': 'negative'}
{'text': '@BSNLCorporate Issue is still not resolved. How do i escalate? BSNL the Worst customer service', 'sentiment': 'negative'}
{'text': '@BSNLCorporate I have sent my number in the direct message.. I would appreciate if this can be corrected immediately!', 'sentiment': 'positive'}
{'text': '@BSNLCorporate My address is SRM University, Modinagar,Ghaziabad, Uttar Pradesh.\nNo. 9456375703', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate Spoken to TDM Sager target time fifteen days after fifteen days assured to give connection', 'sentiment': 'neutral'}
{'text': 'I want to get port my number from idea to bsnl please help me how can i \n@BSNL_HR @BSNLCorporate  number is 8950444758.', 'sentiment': 'neutral'}
{'text': 'RT @kashifkashu: Stop giving personal details of customer in your tweets, u did it second time\n@BSNLCorporate @BSNL_RJ #BSNL', 'sentiment': 'neutral'}
{'text': 'RT @kashifkashu: 1024318308 Please discontinue this service right now\n@BSNLCorporate @BSNL_RJ #BSNL', 'sentiment': 'positive'}
{'text': '@BSNLCorporate Is it for me? 9893107741', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate @DoT_India Thanks', 'sentiment': 'positive'}
{'text': '@BSNLCorporate Yes. Thank you.', 'sentiment': 'neutral'}
{'text': "@BSNLCorporate It's been faulty for last 4 days, they should have repaired it on Saturday itself. Bsnl service is p… https://t.co/EPvMKP9siD", 'sentiment': 'neutral'}
{'text': '@BSNLCorporate @ZeeNews @PMOIndia @abpnewstv @aajtak \nThat is bsnl work more than 10 time talk after w8', 'sentiment': 'positive'}
{'text': '@BSNLCorporate my ftth 0422_2980066 not working for last 10 days complaint lodged no response.much delay suffers.\nVishnu ,9442542594', 'sentiment': 'negative'}
{'text': '@BSNLCorporate R/sir,kindly send your address and mobile no for further query', 'sentiment': 'neutral'}
{'text': "@BSNLCorporate Why don't you reply to problems raised? My cell 9893107741", 'sentiment': 'neutral'}
{'text': '@BSNLCorporate It is not blasphemy to violate rules to give service to an old ailing person. This rule is  not sacr… https://t.co/8jhZIVWA6y', 'sentiment': 'positive'}
{'text': '@BSNLCorporate sir, your problem has been solved.sorry for the inconvenience caused.', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate @CMDBSNL do u justify this reply?', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate sir, department disburse after availability of fund.', 'sentiment': 'neutral'}
{'text': '@BSNL_BR @BSNLCorporate @aajtak\n@aajtak @TRAI\n\nDear BSNL BIHAR CIRCLE,\nIs it is reasonable?\n\nBSNL is charging RS.10… https://t.co/pxcwp3fyg7', 'sentiment': 'positive'}
{'text': '@BSNLCorporate I already got a FTTH connection (033 2971 9005). I need to change the plan on my current copper wire… https://t.co/jpBQzmpU7O', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate Okay Sir', 'sentiment': 'positive'}
{'text': '@BSNLCorporate we are operating a #Manufacturing unit inVillage Turkewadi, Taluka #Chandgad, Dist. #Kolhapur.we nee… https://t.co/JXTPkusoLH', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate But still  nothing happened.\nNo one called and no one came. Phone is dead. Now its 4th day.', 'sentiment': 'negative'}
{'text': '@BSNL_UPW @BSNLCorporate I got new Connections This month but from last 10 days Connection not working.We Have COMP… https://t.co/hW2VE0Mswb', 'sentiment': 'positive'}
{'text': '@BSNLCorporate Area Pin code 735214.', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate I Want BSNL 4G Mobile Tower in My Residence Home.', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate But when????', 'sentiment': 'neutral'}
{'text': 'RT @BSNLCorporate: #DoYouKnow The number of monthly active Instagram users has grown to one billion according to the latest social media st…', 'sentiment': 'positive'}
{'text': '@BSNLCorporate  In my home bsnl landline phone is failed and i inform your office many time ,phone is not changed', 'sentiment': 'neutral'}
{'text': '@BSNLCorporate my service request for pH 040-24094199 with service no. 120709410322 has been open for very long and… https://t.co/yAsC5j4MmR', 'sentiment': 'negative'}
{'text': '@BSNLCorporate my landline 01424-226933 was disconnected on 2 feb19.but i hv received an outstanding biil of rs 12… https://t.co/XiyD8ViYG7', 'sentiment': 'positive'}
{'text': '@BSNLCorporate Thank you.. One QQ.. Can we expect 4G in BSNL', 'sentiment': 'neutral'}
{'text': "@BSNLCorporate @haryanabsnl  so fix this issue soon otherwise you'll lose one more customer this month because of y… https://t.co/5r0NYhtNrL", 'sentiment': 'positive'}
{'text': '@BSNLCorporate @haryanabsnl my internet is not working from last few days I called bsnl exchange Kurukshetra 5 time… https://t.co/XqIjrqZLRy', 'sentiment': 'negative'}
{'text': "RT @SudhirMete: @BSNLCorporate @BSNL_MH @CMDBSNL\n\nBSNL doesn't have ethics anymore.\nSurely if this is the working style then it will get cl…", 'sentiment': 'positive'}
